id,num_rooms,square_footage,location,proximity_to_bathrooms,floor,num_windows,likeability
D131,1,187,3,2,1,1,1
D151,1,188,3,1,1,1,2
D327,1,186,3,2,2,1,1
D329,1,187,3,2,2,1,1
F211,1,196,3,3,2,1,1
F213,1,183,3,2,2,1,1
F214,1,191,3,2,2,1,1
F215,1,195,3,1,2,1,1
F216,1,188,3,1,2,1,1
F217,1,196,3,1,2,1,1
F238,1,174,3,1,2,1,1
F239,1,188,3,2,2,1,1
F311,1,189,3,2,2,1,1
F313,1,172,3,2,2,1,1
F315,1,188,3,1,2,1,1
F316,1,194,3,1,2,1,1
F339,1,186,3,2,2,1,1
F338,1,179,3,2,2,1,2
H105,1,189,3,3,1,2,2
H106,1,189,3,3,1,2,2
W064,1,192,3,2,1,1,2
W065,1,181,3,1,1,1,2
W068,1,145,3,1,1,1,3
W066,1,203,3,1,1,1,1
W076,1,189,3,2,1,2,1
W152,1,191,3,4,1,2,1
W160,1,146,3,3,1,1,3
W164,1,195,3,2,1,1,2
W165,1,181,3,1,1,1,3
W265,1,180,3,2,2,1,1
W352,1,195,3,4,2,1,1
W364,1,195,3,3,2,1,1
W264,1,195,3,2,2,1,1
W365,1,180,3,1,2,1,1
