id,num_rooms,square_footage,location,proximity_to_bathrooms,floor,num_windows,likeability
A192,1,191,2,2,1,4,1
A179,1,207,2,1,1,2,1
A176,1,205,2,1,1,2,1
A132,1,204,2,2,1,4,1
A119,1,206,2,1,1,2,1
A117,1,209,2,1,1,2,1
A116,1,205,2,1,1,2,1
A276,1,208,2,1,2,3,1
A277,1,210,2,1,2,3,1
A219,1,204,2,1,2,3,1
A218,1,210,2,1,2,2,1
A217,1,212,2,1,2,3,1
A216,1,214,2,1,2,3,1
A249,1,208,2,1,2,3,1
A248,1,209,2,1,2,2,1
A247,1,207,2,1,2,3,1
A246,1,201,2,1,2,3,1
A376,1,207,2,1,2,3,1
A377,1,209,2,1,2,3,1
A379,1,212,2,1,2,3,1
A319,1,209,2,1,2,3,1
A318,1,211,2,1,2,2,1
A316,1,210,2,1,2,3,1
A349,1,209,2,1,2,3,1
A348,1,206,2,1,2,2,1
A346,1,206,2,1,2,3,1
D151,1,188,3,1,1,1,2
D148,1,201,3,1,1,1,2
D131,1,187,3,2,1,1,1
D129,1,187,3,2,1,1,1
D127,1,186,3,2,1,1,1
D125,1,187,3,2,1,1,1
D132,1,203,3,2,1,1,1
D130,1,204,3,2,1,1,1
D128,1,211,3,2,1,1,1
D124,1,211,3,2,1,1,1
D122,1,202,3,2,1,1,1
D111,1,193,3,1,1,1,1
D108,1,198,3,1,1,1,1
D251,1,191,3,1,2,1,2
D246,1,208,3,1,2,1,2
D231,1,187,3,2,2,1,1
D229,1,187,3,2,2,1,1
D227,1,186,3,2,2,1,1
D225,1,187,3,2,2,1,1
D232,1,203,3,2,2,1,1
D230,1,204,3,2,2,1,1
D228,1,211,3,2,2,1,1
D224,1,211,3,2,2,1,1
D222,1,202,3,2,2,1,1
D211,1,191,3,1,2,1,2
D210,1,210,3,1,2,1,2
D351,1,196,3,1,2,1,2
D346,1,208,3,1,2,1,2
D351,1,187,3,2,2,1,1
D329,1,187,3,2,2,1,1
D327,1,186,3,2,2,1,1
D325,1,187,3,2,2,1,1
D332,1,203,3,2,2,1,1
D330,1,202,3,2,2,1,1
D328,1,212,3,2,2,1,1
D324,1,211,3,2,2,1,1
D322,1,202,3,2,2,1,1
